venta_id,fecha_venta,cliente_id,producto_id,sucursal_id,canal,cantidad,precio_unitario,descuento_unitario
1001,2026-02-01,1,10,100,mayorista,12,36.00,1.50
1002,2026-02-01,2,11,100,minorista,8,43.00,0.00
1003,2026-02-02,3,13,101,minorista,15,20.00,0.50
1004,2026-02-03,4,12,102,mayorista,20,31.00,2.00
1005,2026-02-03,5,14,101,mayorista,30,14.50,1.00
1006,2026-02-04,1,11,100,mayorista,10,43.00,1.25
1007,2026-02-05,2,13,100,minorista,6,20.00,0.00
1008,2026-02-05,3,10,101,minorista,9,36.00,0.75
1009,2026-02-06,4,14,102,mayorista,25,14.50,0.50
1010,2026-02-07,5,12,101,mayorista,18,31.00,1.75
